iter	Passed	Remaining
0	0	79
1	1	77
2	2	79
3	2	70
4	4	76
5	5	81
6	6	81
7	7	82
8	8	84
9	9	86
10	10	86
11	11	86
12	12	85
13	13	85
14	14	83
15	15	81
16	16	79
17	17	78
18	17	76
19	18	74
20	19	72
21	20	70
22	20	69
23	21	67
24	22	66
25	22	64
26	23	63
27	24	62
28	25	61
29	26	60
30	27	60
31	27	58
32	28	58
33	29	57
34	30	56
35	31	55
36	31	54
37	32	53
38	33	51
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	36	45
45	37	44
46	38	43
47	39	42
48	40	41
49	41	41
50	41	40
51	42	39
52	43	38
53	43	37
54	44	36
55	45	35
56	45	34
57	46	33
58	47	32
59	48	32
60	48	31
61	49	30
62	50	29
63	51	28
64	51	27
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	55	22
71	56	21
72	57	21
73	57	20
74	58	19
75	59	18
76	59	17
77	60	16
78	60	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	65	10
86	66	9
87	67	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	70	4
94	71	3
95	72	3
96	72	2
97	73	1
98	74	0
99	74	0
